Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
cosmetics,SKU129,45.40633529,43.64204696,269.9421877,2057.629855,Male,90.33680391,24.87878002,8.782994033,8.031402673,Carrier B,4.320367615,Supplier 2,Mumbai,4.187030803,667.0695588,29.40410393,64.55881339,Pass,0.4307308,Rail,Route B,235.7773021
skincare,SKU130,18.99886456,26.892298,167.4890775,1886.744964,Female,78.2590009,28.82505235,31.1109715,2.957895294,Carrier A,5.309915995,Supplier 2,Delhi,30,758.1290953,6.59661954,9.851024523,Fail,1.494623258,Air,Route B,614.9968983
cosmetics,SKU131,72.15577332,89.59857638,284.8758657,3829.881257,Unknown,85.46844861,2.001630099,42.9996888,6.717812597,Carrier C,7.217786848,Supplier 2,Mumbai,12.00125568,757.3840512,13.91650413,21.44805423,Pass,1.889070648,Sea,Route C,338.5504168
cosmetics,SKU132,24.170647,30.14811742,310.0318029,7849.085498,Non-binary,70.29896179,2.620954125,30.61375531,3.065055117,Carrier B,5.122276517,Supplier 2,Mumbai,28.33198638,655.9396321,26.91550652,15.51780627,Pending,3.844183146,Road,Route A,183.3657943
cosmetics,SKU133,61.47061129,30.56182703,464.4796228,1061.618523,Female,100,16.45202242,25.92586291,6.924776282,Carrier B,6.93246718,Supplier 1,Kolkata,10.3789056,209.6792043,3.257335769,2.273586681,Fail,0.546339553,Air,Route B,290.1488758
haircare,SKU134,33.46584897,7.831200948,617.6431936,6041.423641,Unknown,36.23676266,21.84859321,60.4971789,2.754645898,Carrier B,4.190903535,Supplier 1,Kolkata,25.52596863,483.5167819,29.00364502,25.39648729,Pass,2.330145755,Road,Route C,812.0860955
cosmetics,SKU135,68.95397391,77.60039621,156.3209501,7469.604806,Female,3.777354442,9.610493982,15.21460126,6.839899225,Carrier C,3.346156608,Supplier 4,Mumbai,13.43525901,746.0706873,7.974673129,7.902974359,Pending,2.732293923,Sea,Route A,488.0658684
cosmetics,SKU136,48.41568871,31.70918262,918.5450289,7023.968073,Female,12.41598291,18.73666052,73.88145306,5.894346176,Carrier C,7.51015953,Supplier 5,Delhi,7.416024477,824.0450187,18.24546318,23.20634392,Fail,2.976577917,Rail,Route A,590.1816697
skincare,SKU137,99.17132864,1,827.9670583,9471.391742,Male,65.08417985,10.51302024,13.08576684,1,Carrier B,8.752450817,Supplier 1,Mumbai,9.537775229,773.660297,27.40340354,14.84192457,Pending,2.203918375,Air,Route C,592.8651622
haircare,SKU138,6.311565129,53.08121838,50.42206918,4428.871276,Male,48.50568527,18.74002972,2.684724374,8.645593834,Carrier A,7.92329138,Supplier 2,Mumbai,11.1844041,539.8870561,12.98707819,66.39889178,Fail,3.375146238,Rail,Route A,525.6039015
cosmetics,SKU139,52.96071505,35.49031098,895.5356837,7184.249991,Female,15.42994702,19.27488178,70.63081049,6.273369303,Carrier C,7.694858551,Supplier 2,Delhi,5.92094016,849.2279725,17.66860293,22.94086915,Fail,3.061826973,Rail,Route A,600.6318664
haircare,SKU140,66.21014784,19.4882379,615.7758372,9038.609656,Unknown,51.94130336,6.471138637,60.33284405,6.142849564,Carrier B,1.523774263,Supplier 2,Chennai,28.9135572,915.3264917,1.705520594,37.25327106,Fail,0.456229167,Rail,Route B,210.269183
skincare,SKU141,13.75439822,53.97496871,244.259317,4639.068331,Non-binary,51.15263473,17.92593122,11.48882036,3.877844249,Carrier A,2.401183314,Supplier 3,Bangalore,17.5469293,731.4223215,10.92715211,21.65328862,Pending,3.717697254,Sea,Route A,661.9782796
haircare,SKU142,74.08509601,10.60618299,770.8076538,4274.374576,Unknown,46.03918518,5.368177002,10.30310151,4.911233926,Carrier A,4.254386926,Supplier 3,Delhi,27.89160622,686.0846299,1,18.6323282,Pending,2.68712019,Road,Route B,257.4035625
skincare,SKU143,8.931939553,26.48353759,840.9424722,2712.97052,Non-binary,8.86388075,3.74624297,54.84102922,7.928663054,Carrier A,3.688878319,Supplier 1,Delhi,4.506325379,380.3420658,2.950804589,95.03648578,Fail,3.180558629,Air,Route A,947.855246
skincare,SKU144,3.664561102,23.54409858,876.8024998,2674.666231,Non-binary,2.725642448,2.482158834,58.9125734,8.005887396,Carrier A,3.908681126,Supplier 1,Delhi,5.061279219,438.5732993,2.39377567,91.28520453,Fail,3.128951158,Air,Route A,892.683316
skincare,SKU145,96.2458786,3.257820562,869.3776196,9036.132807,Male,62.15140855,12.05212533,7.578669396,1.322427712,Carrier B,8.65732883,Supplier 1,Mumbai,10.10679701,704.4499595,26.73832533,12.60502322,Pending,2.117778981,Sea,Route C,594.9553261
skincare,SKU146,49.79392613,23.92223117,153.8963503,7104.519111,Unknown,33.41437237,23.56792755,37.21166704,7.080982041,Carrier C,9.190587881,Supplier 4,Kolkata,13.20634941,483.514931,11.95305004,78.85764482,Fail,4.322065535,Air,Route A,173.6676169
skincare,SKU147,86.16094136,15.77202953,494.9852731,9586.001555,Unknown,9.323586689,9.616153524,70.8607202,8.919353905,Carrier C,8.968647333,Supplier 1,Kolkata,10.59778152,186.5141892,10.32299584,9.126757245,Pass,0.042960038,Sea,Route C,167.5834077
haircare,SKU148,82.66602494,14.985499,702.1038715,2871.146804,Male,99.29205515,9.354246264,10.96844035,4.980952624,Carrier A,4.933469523,Supplier 2,Delhi,28.0012114,902.3652549,5.447641783,31.02451565,Fail,4.673069496,Sea,Route B,311.0902963
haircare,SKU149,4.878013776,50.13768744,983.5763228,1104.958119,Unknown,4.662716263,4.409705272,50.2397324,5.284497531,Carrier B,8.588037081,Supplier 5,Mumbai,24.58304356,861.5956905,20.59132693,69.55899325,Pass,4.083084035,Sea,Route C,346.1755447
haircare,SKU150,47.94413986,88.06988298,44.75681319,7018.300964,Female,5.359368804,12.4539253,21.95395762,4.216441225,Carrier B,6.120401894,Supplier 1,Kolkata,20.15751179,779.9174576,16.16910693,8.114181162,Pass,1.734278567,Road,Route C,232.5084857
haircare,SKU151,96.85118102,7.887552643,362.4721724,3254.271078,Male,64.09801942,16.30799514,48.28286593,4.212682189,Carrier B,6.925484465,Supplier 2,Bangalore,26.50503305,187.7180868,4.075800214,15.69376074,Pass,2.072495301,Sea,Route A,603.1043414
skincare,SKU152,47.94176758,96.25403777,102.3661942,1841.215557,Female,21.15691557,26.74116776,58.8162812,4.024957473,Carrier A,7.35213387,Supplier 5,Bangalore,25.30028044,174.3727879,6.474280598,96.28036957,Pending,4.939255289,Road,Route A,611.000486
cosmetics,SKU153,2.56839431,13.8481686,359.203896,6169.005712,Female,46.98718378,15.75577769,23.01844825,3.758893032,Carrier B,9.892823377,Supplier 1,Mumbai,12.47975606,185.9696924,6.531004751,59.39493576,Fail,0.96788485,Air,Route A,143.0676725
skincare,SKU154,23.57277109,5.45842921,967.9869144,2517.207291,Female,24.32225011,8.110194699,22.80914911,8.932787816,Carrier A,1.457759178,Supplier 3,Kolkata,23.830591,847.6572429,14.60395311,32.91954656,Pending,2.610236662,Sea,Route A,198.8748441
skincare,SKU155,57.6994381,58.17691118,497.6760238,2201.635063,Non-binary,96.30044479,1,29.66791529,2.821432159,Carrier A,9.60654822,Supplier 4,Kolkata,8.333666182,866.5121275,7.793805181,75.66210037,Pending,1.159613702,Air,Route A,227.1587196
skincare,SKU156,98.84889215,27.86008926,556.4751379,8413.660064,Non-binary,51.02607984,27.89277449,79.20261988,5.460391565,Carrier B,2.117384724,Supplier 1,Kolkata,25.96978719,577.9735614,13.69936511,8.281098673,Pending,0.053584902,Road,Route A,921.038206
cosmetics,SKU157,13.79684874,93.69919337,627.0003488,5824.794041,Female,34.17788066,22.27949701,79.86138448,9.802680342,Carrier A,6.235757643,Supplier 2,Mumbai,20.25034635,319.0330817,22.49175728,40.75272784,Fail,4.814708272,Rail,Route B,486.2927581
cosmetics,SKU158,25.9623963,65.12366744,162.5138414,9641.821647,Male,99.74290741,3.622028429,47.83067331,1.287904769,Carrier A,4.908389572,Supplier 5,Bangalore,18.30926024,675.9144125,27.19842981,13.2387532,Pass,1.855793305,Road,Route A,676.1970745
haircare,SKU159,52.12153163,54.53382959,215.0889309,7915.384882,Non-binary,31.59690363,24.54609281,21.34336148,1.375248326,Carrier B,6.316587905,Supplier 3,Bangalore,4.802939776,232.0809237,12.4561156,56.76992801,Pending,0.018607568,Air,Route B,375.7928595
haircare,SKU160,1.699976014,88.08669505,193.4710115,2731.135555,Non-binary,90.74767429,27.49391427,68.43240902,2.952422132,Carrier B,4.122519441,Supplier 4,Bangalore,10.15499453,106.2664375,16.7995135,56.50377433,Pending,2.793333529,Air,Route A,241.9259033
skincare,SKU161,51.74731579,96.22874411,215.541585,2337.304902,Unknown,46.81744398,11.20783982,91.72653994,2.73116824,Carrier B,4.363879545,Supplier 4,Chennai,20.41817823,684.3938184,17.69781665,80.41680688,Fail,3.555768148,Road,Route C,467.2040903
cosmetics,SKU162,5.270364339,13.72668614,379.7197372,5824.934937,Female,52.61032772,14.87807953,22.55080987,4.249535488,Carrier B,9.929816245,Supplier 1,Chennai,13.686022,169.2642842,8.09101172,56.85058222,Fail,0.761428255,Air,Route A,130.4041391
cosmetics,SKU163,26.70027928,30.39833733,328.5051054,7808.411798,Male,64.79793383,2.104461171,30.61048325,3.091795845,Carrier C,5.223348863,Supplier 3,Mumbai,27.80002908,615.0158726,27.3195175,18.50201341,Pending,3.786541972,Road,Route A,207.7517227
skincare,SKU164,54.97325508,63.20995296,520.0594949,2058.729777,Non-binary,94.4797951,1,24.19316666,2.698087572,Carrier B,9.740288542,Supplier 2,Kolkata,8.864066154,862.5753741,6.688505466,75.44337841,Pass,1.422846598,Air,Route A,163.6483921
skincare,SKU165,91.43423215,27.98663112,117.1430079,1797.212021,Non-binary,15.26954117,19.79959383,56.32828698,9.780307924,Carrier C,2.304990905,Supplier 1,Chennai,25.97493575,766.0902721,11.44125366,48.17896079,Pass,2.016263695,Air,Route C,881.2985524
cosmetics,SKU166,64.46076973,65.17500005,623.0673886,5161.357655,Non-binary,5.813088314,17.04190619,96,8.74108599,Carrier C,4.766401832,Supplier 5,Chennai,1,258.7431564,23.73541708,23.80542038,Fail,3.401080191,Sea,Route A,386.3109717
haircare,SKU167,53.50048695,25.61543512,125.4330923,6753.624524,Unknown,31.38137517,23.41275155,35.05162864,7.003984567,Carrier C,8.938868836,Supplier 4,Kolkata,15.02028795,514.0254868,12.84861189,78.45767317,Fail,4.32783446,Rail,Route A,150.4429187
haircare,SKU168,69.51422999,82.3237047,653.886597,2485.116778,Unknown,63.45771729,23.29065642,7.560472959,7.784271487,Carrier B,4.999793137,Supplier 1,Bangalore,18.86628502,430.2257143,4.81000539,94.56934501,Pending,0.736330355,Road,Route A,704.1472528
skincare,SKU169,76.73356182,42.7858848,802.9751082,9692.227973,Unknown,91.80401865,12.82432656,66.55758961,3.965205239,Carrier C,6.861527656,Supplier 1,Kolkata,29.98732309,749.4614168,7.855565171,29.31187493,Pass,1.967528425,Road,Route A,784.2058268
cosmetics,SKU170,97.79151968,10.28374648,123.805711,5761.723823,Unknown,86.48912421,1,27.89897636,7.873475941,Carrier B,9.887408926,Supplier 1,Kolkata,23.27053015,379.1745489,10.37387095,48.56570811,Pending,2.018611587,Road,Route B,497.3096202
haircare,SKU171,46.30853194,87.54022565,8,7014.781211,Female,9.792246206,12.40609819,23.04036466,3.993886619,Carrier B,6.502820665,Supplier 1,Bangalore,21.60500976,778.7280536,15.29488981,11.35788935,Pass,1.686781317,Road,Route C,163.332837
haircare,SKU172,82.75711476,24.01740112,80.14339358,5087.076651,Male,6.368900955,6.755704686,56.85521962,9.796213155,Carrier A,6.379837805,Supplier 3,Chennai,27.39870752,521.4398509,16.73674298,30.44829293,Fail,3.633975398,Sea,Route B,875.7816325
skincare,SKU173,83.26911699,97.29683436,947.2859185,6031.228713,Unknown,87.8771795,19.41554454,38.99777477,7.826555954,Carrier C,6.745592374,Supplier 1,Kolkata,17.86820076,808.1099236,1,89.40729154,Pending,4.260606672,Road,Route B,511.4565483
skincare,SKU174,13.76918688,55.2599173,259.0642638,4362.456933,Non-binary,51.29303278,19.07920088,12.76053592,3.606644412,Carrier A,2.630362168,Supplier 3,Bangalore,18.92898896,709.8407221,9.610994539,21.09372651,Pending,3.5456371,Sea,Route A,711.6711315
haircare,SKU175,70.97548724,79.00666145,673.5710205,2306.654839,Unknown,62.78429436,22.9126576,6.590728357,7.772374679,Carrier B,4.959900667,Supplier 1,Bangalore,21.02621565,446.5153191,6.158422691,95.79785252,Pending,0.646944966,Road,Route A,664.6183071
cosmetics,SKU176,67.05879784,29.173016,503.9458224,1124.394949,Non-binary,99.23376493,15.94215944,26.41639389,6.845210788,Carrier B,7.447799052,Supplier 1,Kolkata,10.94034617,177.4964518,4.787177479,2.156057511,Fail,0.599996704,Air,Route A,303.1958677
cosmetics,SKU177,49.21713329,33.43935927,878.9852113,7180.125901,Female,13.06688694,18.95250126,73.88326311,6.134540095,Carrier C,7.630568904,Supplier 2,Delhi,7.261090268,832.1612041,19.02978469,19.64360977,Fail,2.976369854,Rail,Route A,611.6152561
skincare,SKU178,14.08156729,54.65482248,293.0099014,4405.092572,Non-binary,51.76658974,20.07450653,8.606958459,4.002465273,Carrier A,2.541444014,Supplier 3,Mumbai,18.31899535,744.5231856,9.342833607,21.03330345,Pending,3.741161109,Air,Route A,706.4403281
skincare,SKU179,77.31726965,14.3721121,675.5569196,2767.108953,Non-binary,99.83891136,10.46902332,11.24027252,4.909483624,Carrier A,5.224588102,Supplier 2,Delhi,27.76047413,933.2249131,5.177558041,29.86890771,Fail,4.431623748,Sea,Route B,357.7436803
haircare,SKU180,23.74192236,61.9832367,178.996097,9866.465458,Male,99.9417379,3.864000303,51.92938399,1.220544821,Carrier B,4.918593935,Supplier 5,Kolkata,17.77626094,665.7596728,27.72061687,12.09553503,Pending,1.905989567,Road,Route B,680.9039513
haircare,SKU181,70.24658843,85.34583249,107.6802327,4556.814686,Unknown,59.33258846,16.516513,64.70821177,1,Carrier B,7.040651068,Supplier 4,Chennai,20.90687543,814.2158589,20.24821832,39.02401,Fail,4.327105872,Air,Route A,789.1640219
skincare,SKU182,92.06117829,72.1391033,860.0652394,9129.532819,Unknown,38.01895269,15.73207104,44.2470317,2.093432517,Carrier C,2.886189455,Supplier 3,Chennai,7.730402454,200.4333601,4.600539989,76.83603539,Fail,2.715604575,Sea,Route A,762.4801017
cosmetics,SKU183,4.933509834,9.769673176,377.1313344,6132.927929,Non-binary,47.01536241,14.68146935,23.19919781,4.236661928,Carrier B,9.929816245,Supplier 1,Mumbai,13.01361221,200.1519424,7.295236445,61.69980791,Fail,0.731068149,Air,Route A,111.7558551
haircare,SKU184,61.83949456,13.36046608,594.0806212,9232.122343,Unknown,53.05733461,6.855003802,58.75127919,5.805270948,Carrier C,1.393606648,Supplier 2,Chennai,29.25419582,930.5868003,1,38.16224646,Fail,0.334079722,Rail,Route B,188.912294
haircare,SKU185,65.12406565,87.14423704,97.97926459,4259.202526,Unknown,63.84108761,17.8037337,65.97566153,1.116672768,Carrier C,6.998847124,Supplier 4,Chennai,20.74384949,840.1962434,19.17164925,31.96718234,Fail,4.023840809,Air,Route B,838.7774153
cosmetics,SKU186,76.41709983,57.99677535,754.7304098,9594.439597,Male,58.9526648,17.1181566,85.36182443,6.865605238,Carrier A,3.826887331,Supplier 2,Chennai,21.78040732,960.7086093,11.75182831,66.19471036,Pending,0.829224134,Sea,Route A,133.8769592
haircare,SKU187,27.20759826,79.00053847,845.7434582,2478.72688,Non-binary,93.48291297,28.74101349,3.78522033,7.953570853,Carrier B,4.429166426,Supplier 4,Chennai,17.72076359,853.9346701,23.24373359,76.7204295,Fail,3.918163097,Road,Route A,366.3741326
cosmetics,SKU188,78.27654459,81.99048152,34.35454267,8667.488963,Female,14.75296746,17.53263003,61.97135639,2.224707746,Carrier C,8.326127039,Supplier 5,Chennai,3.220945033,223.6460583,2.735518586,71.45950016,Fail,1.286680252,Rail,Route B,829.6061758
skincare,SKU189,83.88974249,10.31403237,463.3557598,6360.397367,Female,43.69822659,27.21189589,87.93891161,7.85559416,Carrier C,5.001713335,Supplier 1,Delhi,3.347154221,371.9313894,2.117448844,55.94305946,Pass,0.617438959,Air,Route B,542.1011875
cosmetics,SKU190,67.19962888,81.66834025,135.7897049,7500.245942,Female,7.831824724,9.694400317,14.68548276,7.143009692,Carrier C,3.709994545,Supplier 4,Mumbai,12.62557992,793.5287182,7.836713348,9.679855391,Pending,2.734422277,Sea,Route A,484.8714578
haircare,SKU191,98.36709847,9.996891977,367.5562836,3568.142295,Male,59.74965068,16.72284597,49.21750929,4.165576585,Carrier C,6.757766252,Supplier 2,Bangalore,26.24804844,161.0425693,4.508724469,13.79662091,Pass,2.097440619,Rail,Route A,628.3758594
skincare,SKU192,1.746907119,48.54346209,31.46550198,7637.816669,Male,13.85393481,14.68589179,59.3495673,7.994929711,Carrier C,3.759512587,Supplier 3,Kolkata,13.03475862,318.1107831,24.84367121,1.08506857,Pending,1.007661586,Sea,Route A,107.210556
cosmetics,SKU193,22.08948825,2.499527788,938.7045613,2457.22268,Unknown,24.00025793,7.802166099,22.94172999,9.131972277,Carrier A,1.778414763,Supplier 3,Bangalore,23.42543853,860.9529646,15.44020938,35.22492573,Fail,2.761094166,Sea,Route A,191.4479354
haircare,SKU194,37.56024275,24.03423049,600.7985437,9140.993546,Unknown,9.88489706,9.667361868,47.16401779,8.122266959,Carrier A,4.350905689,Supplier 2,Kolkata,18.48007364,377.4060235,16.49442002,26.7178514,Pending,2.245297,Sea,Route A,610.0800976
haircare,SKU195,4.594833621,28.95343128,216.9323208,9206.000869,Male,6.242828058,25.44743972,1,8.051131737,Carrier C,9.656421639,Supplier 2,Bangalore,26.88125135,437.4553081,3.16251695,42.48285062,Pending,3.857550291,Air,Route A,760.9575834
cosmetics,SKU196,84.94015338,40.19881573,350.8061075,7753.67227,Male,20.46808391,25.22284135,66.20474411,4.955019128,Carrier B,1.565034745,Supplier 1,Chennai,13.16253685,449.1480148,4.066610152,48.57970448,Fail,4.622819831,Road,Route A,848.9970879
skincare,SKU197,15.83415417,14.81033033,368.5991849,8754.665523,Female,45.22702861,27.85674467,73.3433768,7.932425977,Carrier A,4.335550879,Supplier 4,Mumbai,29.21079365,967.9248747,24.16754875,88.2142336,Fail,2.602237859,Rail,Route A,434.772018
skincare,SKU198,95.09396704,91.40920014,921.2873904,7334.36233,Male,4.940027322,15.05996156,49.12576305,9.093028548,Carrier A,9.36328524,Supplier 1,Kolkata,9.779197118,957.3751693,19.6745683,18.75001128,Pending,0.110400547,Road,Route A,588.8403147
cosmetics,SKU199,2.507966072,33.13658311,207.275484,8935.417673,Male,1.982789365,25.35790287,1,8.05057138,Carrier B,9.738069388,Supplier 2,Bangalore,27.81096944,459.9767412,4.049321462,38.76232514,Pending,3.624951811,Air,Route A,719.1061704
cosmetics,SKU200,65.93010415,14.70522069,621.3679749,9464.858101,Unknown,53.75281495,7.650721575,59.79285467,6.151767981,Carrier B,1.013486566,Supplier 2,Chennai,29.60303463,909.4550887,1.940593666,40.86350453,Fail,0.324726437,Rail,Route B,183.3685685
cosmetics,SKU201,65.84432588,81.42434476,132.4216048,7632.436134,Unknown,7.226573056,9.829324915,16.04065744,7.108003107,Carrier A,3.76310792,Supplier 4,Delhi,11.856819,768.0148041,7.274853027,11.45017652,Pending,2.632819322,Sea,Route B,501.0017778
skincare,SKU202,19.18592384,14.95461149,256.1178219,1197.379839,Unknown,30.79439859,14.27141913,23.67931222,6.037252602,Carrier B,1.442162786,Supplier 1,Mumbai,3.429585704,580.1166222,18.82168779,74.17664484,Pass,1.967981442,Rail,Route A,267.498209
cosmetics,SKU203,3.0428545,96.00460194,989.9445919,7968.12556,Unknown,76.55528828,26.66995868,71.64745408,8.961196412,Carrier B,6.83029611,Supplier 2,Delhi,12.60318957,895.5389908,14.72760431,60.70832258,Pass,1.727560373,Rail,Route B,834.862876
skincare,SKU204,20.38812822,17.86732012,206.7635869,1515.489552,Male,30.94459718,13.3461744,21.14359347,5.63969292,Carrier B,1.338163435,Supplier 1,Mumbai,3.438485413,579.8790925,17.60941974,76.35583149,Fail,2.189141872,Sea,Route B,278.2144494
skincare,SKU205,3.658449106,48.78945135,57.68835608,7774.283836,Male,10.25813779,14.95290795,59.58713353,8.060493574,Carrier B,3.96994672,Supplier 4,Kolkata,14.28974417,329.5838757,24.16712702,1.791145502,Pending,1.117904554,Sea,Route A,122.4847635
cosmetics,SKU206,64.43300968,2.961360691,235.0605123,8398.387723,Unknown,44.38790907,4.779855157,65.54256443,7.179968234,Carrier B,7.96406504,Supplier 1,Kolkata,15.55824576,342.7072635,6.916288329,39.06184046,Pass,3.979749036,Road,Route A,788.4111324
skincare,SKU207,59.86765293,33.13284138,963.4442165,4849.554976,Unknown,12.80687414,25.94633714,84.50108209,1,Carrier C,7.249045419,Supplier 2,Kolkata,28.81686036,962.5953408,22.60259219,47.90200109,Pending,3.758872604,Rail,Route A,995.5570599
skincare,SKU208,16.67086255,26.74905491,194.6120025,1848.891055,Female,79.61478082,28.91476507,29.1978462,2.99072724,Carrier A,5.531194763,Supplier 2,Kolkata,30,795.4611274,5.603325515,11.90079738,Fail,1.44546105,Air,Route B,650.1050159
haircare,SKU209,37.89503393,26.54511776,654.2053579,9351.186494,Unknown,11.20622285,10.40054793,49.3395248,8.06215047,Carrier C,4.123041721,Supplier 4,Kolkata,17.72391656,429.2129159,16.26999967,27.2069111,Pending,2.459620772,Sea,Route A,579.1888917
skincare,SKU210,90.95250147,77.02057456,865.6450342,8736.367326,Unknown,38.7392738,13.48476397,39.16328688,2.094555677,Carrier C,2.350739265,Supplier 1,Chennai,8.277972386,198.9936763,5.548728215,78.14468149,Fail,2.854053476,Rail,Route B,768.7061047
skincare,SKU211,15.05279884,13.34430574,390.6408224,9137.788729,Female,43.7395622,27.42596699,74.70260362,8.009609169,Carrier B,4.493375621,Supplier 4,Kolkata,28.60515017,934.1497173,24.77112986,86.05329605,Fail,2.768313424,Rail,Route A,431.9112189
haircare,SKU212,27.97798407,78.88081489,874.8917487,2505.076229,Non-binary,94.55572867,29.22695999,4.170727783,7.967469988,Carrier B,3.808413197,Supplier 3,Bangalore,16.67468834,853.2779101,23.07109702,77.56930708,Pending,3.509693259,Road,Route B,337.9275946
cosmetics,SKU213,75.66349811,87.86796307,304.8264697,4161.055347,Unknown,85.06173857,1.708165159,38.0741489,6.886673038,Carrier C,7.07189798,Supplier 1,Mumbai,13.24871048,725.3444608,14.35016515,22.28446343,Pass,1.710517371,Sea,Route C,348.5416875
skincare,SKU214,19.8774449,90.16328346,84.11252224,4993.813865,Non-binary,28.24154817,22.77464492,79.87455571,5.057176482,Carrier B,1.824645486,Supplier 1,Mumbai,24.06102314,835.3906269,28.80128613,14.47525796,Pass,1.226055615,Air,Route B,845.6832373
skincare,SKU215,2.88750847,11.20342615,334.8443575,5970.937362,Non-binary,47.0181021,15.80322523,24.75359308,3.850034526,Carrier B,9.929816245,Supplier 1,Mumbai,13.01034271,171.6619281,6.302450525,57.48141023,Pass,0.734556816,Air,Route A,124.2672879
haircare,SKU216,39.88119278,31.97323654,167.1057693,3513.382399,Non-binary,1.686613349,7.478366978,56.14297182,7.79208384,Carrier B,1.38842895,Supplier 2,Bangalore,1.515943265,392.6306321,18.08610116,99.28138741,Fail,1.874683946,Rail,Route A,288.5283733
skincare,SKU217,20.8831955,19.27413106,228.0606792,1129.18296,Non-binary,31.90209637,13.83096518,23.88115801,6.122641637,Carrier B,1.072161306,Supplier 1,Mumbai,5.1036872,563.9198568,18.99897065,76.0178871,Fail,2.075941972,Rail,Route A,262.5722096
haircare,SKU218,1.699976014,8.941389624,442.1352153,6010.086024,Female,46.95793414,15.04652708,21.98269869,3.909699747,Carrier B,9.929816245,Supplier 1,Mumbai,13.20769776,188.3747603,7.912683959,59.84386012,Fail,0.793983655,Air,Route A,103.916248
cosmetics,SKU219,83.10459484,40.63650232,421.2305781,7672.606451,Male,18.34542252,24.72307742,65.92630757,5.169289177,Carrier B,1.195025319,Supplier 5,Chennai,12.45139526,441.6449216,4.856226029,49.76456907,Fail,4.746249073,Road,Route A,827.2770827
cosmetics,SKU220,71.40151401,88.91175754,223.8420094,3975.299388,Unknown,85.75652549,1.805001833,40.41754036,6.741958494,Carrier C,7.635741535,Supplier 2,Mumbai,12.94039487,748.4302211,13.4400702,21.09576013,Pass,2.010496225,Sea,Route C,339.3582805
cosmetics,SKU221,15.86914833,90.84261895,639.5798376,5946.783351,Female,28.69910043,23.28264884,80.65860474,9.80756295,Carrier A,6.400266565,Supplier 2,Delhi,19.6570348,325.5703248,21.63704865,44.24069266,Fail,4.859939393,Rail,Route B,489.2914311
haircare,SKU222,12.27456131,34.1500616,8,9443.292466,Unknown,1.196803334,9.566953533,86.44463767,1.855194187,Carrier B,8.09994982,Supplier 1,Mumbai,12.69225463,977.1275426,27.51435659,30.5508724,Pending,4.594589421,Air,Route C,171.4592219
haircare,SKU223,5.141611181,56.35480996,42.59968487,4456.551702,Male,44.03011942,19.66299426,3.560279977,9.130905514,Carrier A,8.065677878,Supplier 4,Mumbai,10.31201565,566.4566465,13.10339841,64.77505835,Fail,3.16935515,Sea,Route A,499.3181636
cosmetics,SKU224,17.74548761,91.63962242,636.1213429,5817.176835,Non-binary,32.48831556,23.41012552,80.61415646,10,Carrier A,6.427677337,Supplier 2,Delhi,19.34944496,309.3462842,20.96187721,45.16815932,Fail,4.661047386,Rail,Route B,463.6082011
skincare,SKU225,91.52425526,26.52764642,121.521136,1774.266811,Non-binary,15.79994428,20.85850618,56.96665033,9.706914271,Carrier C,2.158347028,Supplier 1,Bangalore,24.96269994,737.6315104,11.37615711,48.14794033,Pass,2.046345092,Air,Route A,860.5001869
haircare,SKU226,69.86031401,56.1041552,815.4211408,8676.39955,Non-binary,58.51520641,6.552757208,96,4.074280357,Carrier B,2.903465991,Supplier 3,Mumbai,29.02788898,214.527863,29.26479454,43.24221175,Pending,0.072521174,Road,Route B,160.7361501
skincare,SKU227,96.57990729,6.885233582,345.8337994,3926.205151,Unknown,56.20675007,16.77758641,48.27244052,4.140665431,Carrier C,6.656123294,Supplier 1,Bangalore,26.53844009,171.394716,4.030359012,17.73147297,Pass,2.016842843,Rail,Route A,596.5220089
skincare,SKU228,14.03726716,58.00882969,318.3310239,9624.452008,Non-binary,69.73184248,17.74547541,95.45821069,7.216627917,Carrier C,7.50380303,Supplier 1,Bangalore,8.762917061,580.8258662,7.516684984,87.45708581,Pass,1.194668143,Rail,Route B,997.4134501
haircare,SKU229,78.06213814,63.58914179,649.2112336,7453.728211,Unknown,17.01552615,13.63755222,25.5862417,9.14931886,Carrier B,8.795595635,Supplier 3,Mumbai,18.13422677,457.2982322,26.30858891,60.28973102,Pending,1.105440582,Rail,Route A,813.1246837
haircare,SKU230,4.164827846,31.01917804,213.4497391,9290.747987,Male,5.729916412,25.59615407,3.75742,7.835471482,Carrier C,9.537599876,Supplier 2,Kolkata,28.2213495,432.6484643,2.627729446,42.33811981,Pending,3.756029967,Air,Route A,752.0806259
skincare,SKU231,56.67354948,79.89079867,878.6031517,2010.156406,Non-binary,10.46119604,5.219171724,43.62514883,6.545640098,Carrier A,4.850112825,Supplier 3,Delhi,17.31345844,432.2129935,7.034401404,66.50565825,Fail,1.792879454,Road,Route B,115.9098877
cosmetics,SKU232,77.70480843,55.90298331,725.4700234,9541.614261,Non-binary,60.09078189,18.0370108,83.15496086,7.140123159,Carrier A,4.053339878,Supplier 5,Kolkata,21.7662766,949.5885092,9.501885218,68.64481271,Pending,0.732076235,Sea,Route A,103.916248
